№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
956;1890027;Одеська;;65074;м.;Одеса;Малиновський;вулиця;Академіка Філатова;84/2, приміщення 5;;;;65074, Одеська обл., м.Одеса, Малиновський р-н.,  вул.Академіка Філатова, 84/2, приміщення 5;5110137300;UA51100270010275193
957;1890028;Івано-Франківська;;78200;м.;Коломия;;площа;Тараса Шевченка;2;;;;78200, Івано-Франківська обл., м.Коломия, площа Тараса Шевченка, 2;2610600000;UA26080070000092582
958;1890029;Донецька;;87514;м.;Маріуполь;Центральний;;Запорізьке шосе;2;;;;87514, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке Шосе, 2;1412336300;UA14140050010437700
959;1890030;Донецька;;87555;м.;Маріуполь;Центральний;проспект;Миру;75-Б;;;;87555, Донецька обл., м.Маріуполь, Центральний р-н., проспект Миру, 75-Б;1412336300;UA14140050010437700
960;1890031;Харківська;;61120;м.;Харків;Московський;проспект;Тракторобудівників;59/56;;;;61120, Харківська обл., м.Харків,  Московський р-н., проспект Тракторобудівників, 59/56;6310137500;UA63120270010315719
961;1890032;Одеська;;68002;м.;Чорноморськ;;вулиця;Першого Травня;5/178-Н;;;;68002, Одеська обл., м.Чорноморськ, вул.Першого Травня, 5/178-Н;5110800000;UA51100370000040590
962;1890033;Дніпропетровська;;51700;м.;Вільногірськ;;вулиця;Центральна;55/57;;;;51700, Дніпропетровська обл., м.Вільногірськ, вул.Центральна, 55/57;1210200000;UA12040090000029346
963;1890034;Дніпропетровська;;52204;м.;Жовті Води;;вулиця;Кропоткіна;35-Б;;;;52204, Дніпропетровська обл., м.Жовті Води, вул.Кропоткіна, 35-Б;1210700000;UA12040110000091524
964;1890035;Донецька;;85001;м.;Добропілля;;мкр-н Сонячний;;30-А;;;;85001, Донецька обл., м.Добропілля,, мкр-н Сонячний, 30-А;1411500000;UA14160070000097326
965;1890036;Харківська;;64309;м.;Ізюм;;вулиця;Соборна;43;;;;64309, Харківська обл., м.Ізюм, вул.Соборна, 43;6310400000;UA63040090000021240
