№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
252;1010252;Херсонська;;73485;м.;Херсон;Дніпровський;провулок;Янтарний;1;;;;73485, Херсонська обл., м.Херсон, Дніпровський р-н., провулок Янтарний, 1;6510136300;UA65100150010123057
253;1010253;Донецька;;84122;м.;Слов`янськ;;вулиця;Центральна;65;;;;84122, Донецька обл., м.Слов`янськ, вул.Центральна, 65;1414100000;UA14120210010032554
254;1010254;Житомирська;Коростенський;11104;м.;Овруч;;вулиця;Рєпкіна;14;;;;11104, Житомирська обл., Коростенський р-н., м.Овруч, вул.Рєпкіна, 14;1824210100;UA18060170010010060
255;1010255;Львівська;Дрогобицький;82300;м.;Борислав;;вулиця;ДРОГОБИЦЬКА;7;;;;82300, Львівська обл., Дрогобицький р-н., м.Борислав, вул.Дрогобицька,7;4610300000;UA46020010010087534
256;1010256;Одеська;Ананьївський;66401;м.;Ананьїв;;вулиця;Нищинського;1;;;;66401, Одеська обл., Ананьївський р-н., м.Ананьїв, вул.Нищинського, 1;5120210100;UA51120010010049617
257;1010257;Луганська;Старобільський;92801;смт.;Біловодськ;;вулиця;Центральна;206-А;;;;92801, Луганська обл., Старобільський р-н., смт.Біловодськ, вул.Центральна, 206-А;4420655100;UA44140010010089375
258;1010258;Київська;Бучанський;08290;смт.;Гостомель;;вулиця;Свято-Покровська;108-А;;;;08290, Київська обл., Бучанський р-н., смт.Гостомель, вул.Свято-Покровська, 108-А;3210945900;UA32080110010033149
259;1010259;Вінницька;;22100;м.;Козятин;;вулиця;Пилипа Орлика;12;;;;22100, Вінницька обл., м.Козятин, вул.Пилипа Орлика, 12;0510500000;UA05120090010077573
260;1010260;Київська;Білоцерківський;09801;м.;Тетіїв;;вулиця;ЦЕНТРАЛЬНА;47;;;;09801, Київська обл., Білоцерківський р-н., м.Тетіїв, вул.Центральна, 47;3224610100;UA32020210010016577
261;1010261;Херсонська;Скадовський;75600;м.;Гола Пристань;;вулиця;1-го Травня;29-А;;;;75600, Херсонська обл., Скадовський р-н., м.Гола Пристань, вул.1-го Травня, 29-А;6510300000;UA65080030010035864
262;1010262;Тернопільська;Чортківський;48601;м.;Заліщики;;вулиця;Стефаника;26;;;;48601, Тернопільська обл., Чортківський -р-н., м.Заліщики, вул.Стефаника, 26;6122010100;UA61060170010057218
263;1010263;Львівська;Яворівський;81070;м.;Івано-Франкове;;вулиця;Львівська;55;;;;81070, Львівська обл., Яворівський -р-н., м.Івано-Франкове, вул.Львівська, 55;4625855300;UA46140010010031231
264;1010264;Івано-Франківська;Косівський;78601;м.;Косів;;вулиця;Грушевського, 1;1;;;;78601, Івано-Франківська обл., Косівський р-н., м.Косів, вул.Грушевського, 1;2623610100;UA26100010010026473
265;1010265;Житомирська;Новоград-Волинський;12701;м.;Баранівка;;вулиця;Першотравнева;17;;;;12701, Житомирська обл., Новоград-Волинський р-н., м.Баранівка, вул.Першотравнева, 17;1820610100;UA18080010010059187
266;1010266;Рівненська;Рівненський;34600;м.;Березне;;вулиця;Зірненська;24/287;;;;34600, Рівненська обл., Рівненський -р-н., м.Березне, вул.Зірненська, 24/287;5620410100;UA56060030010049126
267;1010267;Харківська;;61054;м.;Харків;Київський;;Ринок Барабашова (6), павільон С-011-21;;;;;61054, Харківська обл., м.Харків, Київський р-н., Ринок Барабашова (6), павільон С-011-21;6310136600;UA63120270010216514
268;1010268;Донецька;Покровський;85001;м.;Добропілля;;вулиця;Фестивальна;5;;;;85001, Донецька обл., Покровський р-н., м.Добропілля, вул.Фестивальна, 5;1411500000;UA14160070010040544
269;1010269;Донецька;Волноваський;85670;м.;Вугледар;;вулиця;Шахтарська;3;;;;85670, Донецька обл., Волноваський р-н., м.Вугледар, вул.Шахтарська,3;1414800000;UA14040050010075856
270;1010270;Луганська;Сватівський;92603;м.;Сватове;;вулиця;Дружби;12;;;;92603, Луганська обл., Сватівський р-н., м.Сватове, вул.Дружби, 12;4424010100;UA44100110010094316
271;1010271;Вінницька;;21036;м.;Вінниця;;вулиця;Максимовича;33;;;;21036, Вінницька обл., м.Вінниця, вул.Максимовича, 33;0510100000;UA05020030010063857
272;1010272;Харківська;Чугуївський;63503;м.;Чугуїв;;вулиця;Жадановського;13;;;;63503, Харківська обл, Чугуївський р-н., м.Чугуїв, вул.Жадановського,13;6312000000;UA63140170010036104
273;1010273;Київська;Фастівський;08500;м.;Фастів;;вулиця;Київська;34;;;;08500, Київська обл., Фастівський р-н., м.Фастів, вул.Київська, 34;3211200000;UA32140150010091295
274;1010274;Дніпропетровська;;50019;м.;Кривий Ріг;Центрально-Міський;вулиця;Купріна;116-Д;;;;50019, Дніпропетровська обл., м.Кривий Ріг, Центрально-Міський р-н., вул.Купріна, 116-Д;1211037500;UA12060170010720279
275;1010275;Дніпропетровська;Нікопольський;53304;м.;Покров;;вулиця;ЧЕХОВА;2;;;;53304, Дніпропетровська обл., Нікопольський р-н., м.Покров, вул.Чехова, 2;1212100000;UA12080090010010311
276;1010276;Одеська;Ізмаїльський;68803;м.;Рені;;вулиця;Спортивна;11а;;;;68803, Одеська обл., Ізмаїльський р-н. м.Рені, вул.Спортивна, 11-А;5124110100;UA51080070010065897
277;1010277;Сумська;Сумський;42400;смт.;Краснопілля;;вулиця;Вокзальна;46;;;;42400, Сумська обл., Сумський р-н., смт.Краснопілля, вул.Вокзальна, 46;5922355100;UA59080090010070278
278;1010278;Дніпропетровська;Дніпровський;52400;смт.;Солоне;;вулиця;ГАГАРІНА;29-А;;;;52400, Дніпропетровська обл., Дніпровський р-н. смт.Солоне, вул.Гагаріна, 29-А;1225055100;UA12020270010031228
279;1010279;Дніпропетровська;;49064;м.;Дніпро;Новокодацький;вулиця;Мічуріна;4;;;;49064, Дніпропетровська обл., м.Дніпро, Новокодацький р-н., вул.Мічуріна, 4;1210138100;UA12020010010350200
280;1010280;Миколаївська;Баштанський;55601;м.;Новий Буг;;вулиця;Грушевського;20;;;;55601, Миколаївська обл., Баштанський р-н.  м.Новий Буг, вул.Грушевського, 20;4824510100;UA48020150010063715
281;1010281;Черкаська;Уманський;19101;м.;Монастирище;;вулиця;Дружби;36;;;;19101, Черкаська обл., Уманський р-н., м.Монастирище, вул.Дружби, 36;7123410100;UA71060170010084282
282;1010282;Івано-Франківська;Верховинський;78701;смт.;Верховина;;вулиця;Гуцульського повстання;13;;;;78701, Івано-Франківська обл., Верховинський р-н., смт.Верховина, вул.Гуцульського повстання, 13;2620855100;UA26020030010013669
283;1010283;Закарпатська;Хустський;90100;м.;Іршава;;вулиця;Федорова;29/2;;;;90100, Закарпатська обл., Хустський р-н., м.Іршава, вул.Федорова, 29/2;2121910100;UA21120130010065349
284;1010284;Одеська;;65005;м.;Одеса;Малиновський;вулиця;Бугаївська;41-А;;;;65005, Одеська обл., м.Одеса, Малиновський р-н., вул.Бугаївська, 41-А;5110137300;UA51100270010275193
285;1010285;Вінницька;Гайсинський;24321;м.;Ладижин;;вулиця;Піонерська;29;;;;24321, Вінницька обл., Гайсинський р-н., м.Ладижин, вул.Піонерська, 29;0510600000;UA05040130010040578
286;1010286;Рівненська;Рівненський;35705;м.;Здолбунів;;вулиця;Пушкіна;1;;;;35705, Рівненська обл., Рівненський р-н., м.Здолбунів, вул.Пушкіна, 1;5622610100;UA56060250010051586
287;1010287;Полтавська;Лубенський;37800;м.;Хорол;;вулиця;ШЕВЧЕНКА;34;;;;37800, Полтавська обл., Лубенський р-н., м.Хорол, вул.Шевченка, 34;5324810100;UA53040110010080324
288;1010288;Полтавська;Полтавський;38400;м.;Решетилівка;;вулиця;Полтавська;2;;;;38400, Полтавська обл., Полтавський р-н., м.Решетилівка, вул.Полтавська, 2;5324210100;UA53080390010041197
289;1010289;Чернівецька;Дністровський;60200;м.;Сокиряни;;вулиця;Коцюбинського;4;;;;60200, Чернівецька обл., Дністровський р-н., м.Сокиряни, вул.Коцюбинського, 4;7324010100;UA73040170010044151
290;1010290;Київська;Бориспільський;08400;м.;Переяслав;;вулиця;Героїв Дніпра;ЗЗ;;;;08400, Київська обл., Бориспільський р-н., м.Переяслав,  вул.Героїв Дніпра, ЗЗ;3211000000;UA32040110010043320
291;1010291;Харківська;;61070;м.;Харків;Київський;вулиця;Шевченка;327;;;;61070, Харківська обл., м.Харків, Київський р-н., вул.Шевченка, 327;6310136600;UA63120270010216514
292;1010292;Закарпатська;Хустський;90400;м.;Хуст;;вулиця;Гвардійська;122-124;;;;90400, Закарпатська обл., Хустський р-н., м.Хуст, вул.Гвардійська, 122-124;2110800000;UA21120250010053148
293;1010293;;;03134;м.;Київ;Святошинський;вулиця;Якутська;8;;;;03134, м.Київ, Святошинський р-н., вул.Якутська, 8;8038600000;UA80000000000875983
