Повне найменування відокремленного підрозділу;Адреса відокремленного підрозділу;Дата та номер рішення про створення відокремленого підрозділу;ЄДРПОУ;Режим роботи;Платежі приймаються в Платіжній системі;Платежі виплачуються  в Платіжній системі
ВІДДІЛЕННЯ №1330572;51200, Дніпропетровська обл., місто Новомосковськ, ВУЛИЦЯ ГЕТЬМАНСЬКА, будинок 34;№ 4/01/05 від 10.01.2020;43450303;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330573;79017, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ ЗЕЛЕНА, будинок 70;№ 4/01/05 від 10.01.2020;43450319;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330574;33014, Рівненська обл., місто Рівне, ВУЛИЦЯ СТЕПАНА БАНДЕРИ, будинок 46;№ 4/01/05 від 10.01.2020;43450324;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330575;43026, Волинська обл., місто Луцьк, ПРОСПЕКТ СОБОРНОСТІ, будинок 26;№ 4/01/05 від 10.01.2020;43450330;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330576;76014, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ СТЕПАНА БАНДЕРИ, будинок 31;№ 4/01/05 від 10.01.2020;43450345;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330577;29000, Хмельницька обл., місто Хмельницький, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 2;№ 4/01/05 від 10.01.2020;43450350;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330578;46025, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 1;№ 4/01/05 від 10.01.2020;43450366;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330579;89600, Закарпатська обл., місто Мукачево, ВУЛИЦЯ ВАЛЕНБЕРГА РАУЛЯ, будинок 3-1;№ 4/01/05 від 10.01.2020;43450371;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330580;32302, Хмельницька обл., місто Кам'янець-Подільський, ВУЛИЦЯ ОГІЄНКА, будинок 39/5;№ 4/01/05 від 10.01.2020;43450387;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330581;21001, Вінницька обл., місто Вінниця, ВУЛИЦЯ ЗАМОСТЯНСЬКА, будинок 25/21;№ 471/07/05 від 27.07.2020;43735495;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330582;71708, Запорізька обл, місто Токмак, ВУЛИЦЯ ГОГОЛЯ, будинок 69 Б/2;№ 471/07/05 від 27.07.2020;43735500;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330583;43025, Волинська обл., місто Луцьк, ВУЛИЦЯ ЛЕСІ УКРАЇНКИ, будинок 53;№ 471/07/05 від 27.07.2020;43735516;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330584;39631, Полтавська обл., м.Кременчук, Автозаводський р-н., вул. Київська, 66;№ 471/07/05 від 27.07.2020;43735521;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330585;43020, Волинська обл., місто Луцьк, ПРОСПЕКТ ВІДРОДЖЕННЯ, будинок 16;№ 471/07/05 від 27.07.2020;43735537;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330586;92905, Луганська обл., Кремінський район, місто Кремінна, ВУЛИЦЯ СХІДНА, будинок 1-А;№ 471/07/05 від 27.07.2020;43735542;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330587;93010, Луганська обл., місто Рубіжне, ВУЛИЦЯ ВИЗВОЛИТЕЛІВ, будинок 65;№ 471/07/05 від 27.07.2020;43735558;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330588;03134, місто Київ, Святошинський район, ВУЛИЦЯ ПШЕНИЧНА, будинок 4-А;№ 471/07/05 від 27.07.2020;43735563;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330589;58023, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ФАСТІВСЬКА, будинок 30-Б;№ 471/07/05 від 27.07.2020;43735579;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330590;85300, Донецька обл., місто Покровськ, ВУЛИЦЯ ШЕВЧЕНКА, будинок 2;№ 471/07/05 від 27.07.2020;43735584;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330591;78203, Івано-Франківська обл.,  місто Коломия, ВУЛИЦЯ Степана Бандери, будинок 15;№ 543/09/05 від 03.09.2020;;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330592;47705, Тернопільська обл., Тернопільський р-н., с.Чистилів, вул.Транспортна Бічна, 10;№ 543/09/05 від 03.09.2020;;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330593;46016, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ Пантелеймона Куліша, будинок 1;№543/09/05 від 03.09.2020;;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330594;24001, Вінницька обл., місто Могилів-Подільський, ВУЛИЦЯ Пушкінська, будинок 154;№543/09/05 від 03.09.2020;;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330595;67805, Одеська обл, Овідіопольський р-н., смт.Авангард, вул.Базова, 17/30;№ 563/09/05 від 16.09.2020;;ПН–НД 08:00–20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330596;68000, Одеська обл., м.Чорноморськ, вул.Перемоги, 12-А;№ 563/09/05 від 16.09.2020;;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1330597;44702, Волинська обл, м.Володимир-Волинський, вул. Драгоманова, 42;№ 632/10/05 від 19.10.2020;;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1410001;01001, м.Київ, Печерський район, ВУЛИЦЯ АРХІТЕКТОРА ГОРОДЕЦЬКОГО, будинок 10/1;№8/03/05-1 від 06.03.2018;41994683;ПН-НД 10:00-20:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700001;02090, м.Київ, Дніпровський район, ВУЛИЦЯ ГРОДНЕНСЬКА, будинок 32;343/05/05 від 27.05.2019;43040408;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700002;49019, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ АКАДЕМІКА БЕЛЕЛЮБСЬКОГО, будинок 40-А;343/05/05 від 27.05.2019;43040413;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700003;79040, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ КОНЮШИННА, будинок 21;343/05/05 від 27.05.2019;43040429;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700004;65031, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ХУТОРСЬКА, будинок 101-В;343/05/05 від 27.05.2019;43040434;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700005;61052, Харківська обл., місто Харків, Холодногірський район, ВУЛИЦЯ КОЦАРСЬКА, будинок 58-А;343/05/05 від 27.05.2019;43040444;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700006;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ ОЛЕГА АНТОНОВА, 19-А;343/05/05 від 27.05.2019;43040455;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700007;69035, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ БРЯНСЬКА, будинок 15;343/05/05 від 27.05.2019;43040460;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700008;04080, м.Київ, Оболонський район, ВУЛИЦЯ КОРАБЕЛЬНА, будинок 6;343/05/05 від 27.05.2019;43040476;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700009;79035, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ ЗЕЛЕНА, будинок 115-А;343/05/05 від 27.05.2019;43040481;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700010;33018, Рівненська обл., місто Рівне, ВУЛИЦЯ КУРЧАТОВА, будинок 18-В;343/05/05 від 27.05.2019;43040497;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700011;76018, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ НЕЗАЛЕЖНОСТІ, будинок 126-Б;343/05/05 від 27.05.2019;43040502;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700012;87515, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ Італійська, будинок 9;343/05/05 від 27.05.2019;43040518;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700013;36034, Полтавська обл., місто Полтава, Київський район, ВУЛИЦЯ ПОЛОВКА, будинок 72;343/05/05 від 27.05.2019;43040523;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700014;29015, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ВІННИЦЬКЕ ШОСЕ, будинок 1/1;343/05/05 від 27.05.2019;43040539;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700015;14037, Чернігівська обл., місто Чернігів, Новозаводський район, ВУЛИЦЯ ІНСТРУМЕНТАЛЬНА, будинок 8;343/05/05 від 27.05.2019;43040544;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700016;50086, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 83-Б;343/05/05 від 27.05.2019;43040558;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700017;25006, Кіровоградська обл., місто Кропивницький, Подільський район, ВУЛИЦЯ ЧЕРНОВОЛА, будинок 2-В;343/05/05 від 27.05.2019;43040565;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700018;43020, Волинська обл., місто Луцьк, ВУЛИЦЯ ЗВ'ЯЗКІВЦІВ, будинок 1-А;343/05/05 від 27.05.2019;43040570;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700019;46400, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ЛУК'ЯНОВИЧА, будинок 1;343/05/05 від 27.05.2019;43040586;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700020;58008, Чернівецька обл., місто Чернівці, ВУЛИЦЯ СЕВАСТОПОЛЬСЬКА, будинок 18-А;343/05/05 від 27.05.2019;43040591;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700021;84313, Донецька обл., місто Краматорськ, ВУЛИЦЯ ОЛЕКСИ ТИХОГО, будинок 8;343/05/05 від 27.05.2019;43040607;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700022;88001, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ОЛЕКСАНДРА БЛИСТІВА, будинок 1;343/05/05 від 27.05.2019;43040612;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700023;73011, Херсонська обл., місто Херсон, Корабельний район, ВУЛИЦЯ РОБОЧА, будинок 82-А;343/05/05 від 27.05.2019;43040628;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700024;18029, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ 30 РОКІВ ПЕРЕМОГИ, будинок 5/1;343/05/05 від 27.05.2019;43040633;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700025;71101, Запорізька обл., місто Бердянськ, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 1;№410/07/05 від 09.07.2019;43118547;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700026;82100, Львівська обл., місто Дрогобич, ВУЛИЦЯ ГАЙДАМАЦЬКА, будинок 5;№410/07/05 від 09.07.2019;43118552;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700027;10031, Житомирська обл., місто Житомир, Богунський район, ВУЛИЦЯ ТАРАСА БУЛЬБИ-БОРОВЦЯ, будинок 30;№410/07/05 від 09.07.2019;43118568;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700028;32316, Хмельницька обл., місто Кам'янець-Подільський, ВУЛИЦЯ ПІВНІЧНА, будинок 81-Г;№410/07/05 від 09.07.2019;43118573;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700029;51925, Дніпропетровська обл., місто Кам’янське, Заводський район, ПРОСПЕКТ ГІМНАЗИЧНИЙ, будинок 44;№410/07/05 від 09.07.2019;43118589;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700030;39601, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ 1-ИЙ ПІЩАНИЙ ТУПІК, будинок 1;№410/07/05 від 09.07.2019;43118594;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700031;72305, Запорізька обл., місто Мелітополь, ВУЛИЦЯ ЛОМОНОСОВА, будинок 23;№410/07/05 від 09.07.2019;43118601;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700032;54046, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ ЦІЛИННА, будинок 17/5;№410/07/05 від 09.07.2019;43118620;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700033;89601, Закарпатська обл., місто Мукачево, ВУЛИЦЯ БЕРЕГІВСЬКА, будинок 110;№410/07/05 від 09.07.2019;43118636;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700034;53213, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ ШУЛЬГІНА, будинок 10/1;№410/07/05 від 09.07.2019;43118641;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700035;28006, Кіровоградська обл., місто Олександрія, КІРОВОГРАДСЬКЕ ШОСЕ, будинок 157;№410/07/05 від 09.07.2019;43118657;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700036;93405, Луганська обл., місто Сєвєродонецьк, ВУЛИЦЯ ПИВОВАРОВА, будинок 4;№410/07/05 від 09.07.2019;43118662;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700037;40020, Сумська обл., місто Суми, Ковпаківський район, ПРОСПЕКТ Курський, будинок 26;№410/07/05 від 09.07.2019;43118678;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700038;20304, Черкаська обл., місто Умань, ВУЛИЦЯ МАКСИМА ЗАЛІЗНЯКА, будинок 6-Г;№410/07/05 від 09.07.2019;43118683;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700039;84511, Донецька обл., місто Бахмут, ВУЛИЦЯ СИБІРЦЕВА, будинок 2;№410/07/05 від 09.07.2019;43118699;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700040;09109, Київська обл., місто Біла Церква, СКВИРСЬКЕ ШОСЕ, будинок 178;№410/07/05 від 09.07.2019;43118704;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700041;49107, Дніпропетровська обл., місто Дніпро, Соборний район, ВУЛИЦЯ ГЕНЕРАЛА ПУШКІНА, будинок 1-С;№410/07/05 від 09.07.2019;43118715;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700042;45008, Волинська обл., місто Ковель, ВУЛИЦЯ БРЕСТСЬКА, будинок 113-В;№410/07/05 від 09.07.2019;43118725;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700043;25014, Кіровоградська обл., місто Кропивницький, Фортечний район, ПРОСПЕКТ ІНЖЕНЕРІВ, будинок 10;№410/07/05 від 09.07.2019;43118730;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700044;74900, Херсонська обл., місто Нова Каховка, ВУЛИЦЯ ЗАВОДСЬКА, будинок 2-Р;№410/07/05 від 09.07.2019;43118746;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700045;55213, Миколаївська обл., місто Первомайськ, ВУЛИЦЯ КИЇВСЬКА, будинок 112;№410/07/05 від 09.07.2019;43118751;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700046;84122, Донецька обл., місто Слов'янськ, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 63;№410/07/05 від 09.07.2019;43118767;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700047;"62416, Харківська обл., Харківський район, селище міського типу Пісочин, ПЛОЩА ЮРІЯ КОНОНЕНКА, будинок 1, МІСЦЕ 15.4 РЯД Т, ТЦ ""ЛОСК""";№410/07/05 від 09.07.2019;43118772;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700048;29016, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ГЕОЛОГІВ, будинок 2;№410/07/05 від 09.07.2019;43118788;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700049;03083, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГІВСЬКИЙ ШЛЯХ, будинок 34;№ 625/09/05 від 20.09.2019;43244778;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700050;17501, Чернігівська обл., місто Прилуки, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 50;№ 625/09/05 від 20.09.2019;43244783;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700051;03134, м.Київ, Святошинський район, ВУЛИЦЯ ЯКУТСЬКА, будинок 8;№ 94/07/19  від 02 квітня 2019;43450497;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700052;07402, Київська обл., місто Бровари, ВУЛИЦЯ БРОВАРСЬКОЇ СОТНІ, будинок 3;№ 94/07/19  від 02 квітня 2019;43450502;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700053;51404, Дніпропетровська обл., місто Павлоград, ВУЛИЦЯ Дніпровська, будинок 49;№ 94/07/19  від 02 квітня 2019;43450518;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700054;51200, Дніпропетровська обл., місто Новомосковськ, ВУЛИЦЯ СУЧКОВА, будинок 66;№ 287/04/05 від 27.04.2020;43450460;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700055;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ МИХАЙЛА КАЛМИКОВА, будинок 5;№ 287/04/05 від 27.04.2020;43450476;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700056;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ КИЇВСЬКА, будинок 23;№ 287/04/05 від 27.04.2020;43450481;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700057;61099, Харківська обл., м.Харків, Немишлянський р-н., бульвар Богдана Хмельницького, 8;№ 369/06/05 від 03.06.2020;;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700058;65120, Одеська обл., м.Одеса, Малиновський р-н., вул.Базова, 11;№ 369/06/05 від 03.06.2020;;09:00-18:00, СБ 09:00-14:00; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
ВІДДІЛЕННЯ №1700059;75101, Херсонська обл., Олешківський р-н., м.Олешки, вул.Пролетарська, 107;№ 369/06/05 від 03.06.2020;43450413;ТИМЧАСОВО НЕ ПРАЦЮЄ; ВПС ЕЛЕКТРУМ, ВПС FLASHPAY; ВПС ЕЛЕКТРУМ
